Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards
1961;66.0;Tonight for Sure;Comedy;Lee, Karla;Cornell, Laura;Coppola, Francis Ford;4.0;No
1990;110.0;White Hunter, Black Heart;Adventure;Eastwood, Clint;Cornwell, Charlotte;Eastwood, Clint;66.0;No
1962;110.0;Sundays & Cybele;Drama;Kruger, Hardy;Courcel, Nicole;Bourguignon, Serge;11.0;Yes
1989;90.0;Puppet Master;Science Fiction;LeMat, Paul;Crampton, Barbara;Schmoeller, David;20.0;No
1991;95.0;Night Gallery;Horror;McDowall, Roddy;Crawford, Joan;Spielberg, Steven;31.0;No
1989;103.0;Pet Sematary;Horror;Gwynne, Fred;Crosby, Denise;Lambert, Mary;27.0;No
1992;60.0;America's Music, Gospel;Music;Phipps, Wentley;Crouch, Sandra;Walton, Kip;13.0;No
1977;123.0;Slap Shot;Comedy;Newman, Paul;Crouse, Lindsay;Hill, George Roy;82.0;No
1987;109.0;O. C. & Stiggs;Comedy;Jenkins, Daniel H.;Curtin, Jane;Altman, Robert;3.0;No
1988;108.0;A Fish Called Wanda;Comedy;Cleese, John;Curtis, Jamie Lee;Crichton, Charles;7.0;Yes
1954;96.0;A Lesson in Love;Comedy;Bjrnstrand, Gunnar;Dahlbeck, Eva;Bergman, Ingmar;48.0;No
1957;82.0;Brink of Life;Drama;Josephson, Erland;Dahlbeck, Eva;Bergman, Ingmar;57.0;No
1986;120.0;Betty Blue;Drama;Anglade, Jean-Hughes;Dalle, Batrice;Beineix, Jean-Jacques;71.0;No
1979;122.0;Hair;Music;Savage, John;D'Angelo, Beverly;Forman, Milos;67.0;No
1989;97.0;National Lampoon's Christmas Vacation;Comedy;Chase, Chevy;D'Angelo, Beverly;S, Jeremiah;81.0;No
1974;124.0;Dersu Uzala, (The Hunter);Adventure;Solomin, Yuri;Danilchenko, Svetlana;Kurosawa, Akira;81.0;Yes
1990;106.0;Alice;Comedy;Baldwin, Alec;Danner, Blythe;Allen, Woody;22.0;No
1980;90.0;Fifth Floor, The;Mystery;Hopkins, Bo;D'Arbanville, Patti;Avedis, Howard Hikmet;74.0;No
1990;94.0;Snow Kill;Drama;Knox, Terence;D'Arbanville, Patti;Wright, Thomas J.;35.0;No
1971;74.0;People, The;Drama;Shatner, William;Darby, Kim;Coppola, Francis Ford;36.0;No
1969;128.0;True Grit;Western;Wayne, John;Darby, Kim;Hathaway, Henry;77.0;Yes
1942;18.0;Battle of Midway, The;War;Crisp, Donald;Darwell, Jane;Ford, John;75.0;No
1948;103.0;Three Godfathers;Western;Wayne, John;Darwell, Jane;Ford, John;72.0;No
1965;133.0;Hush, Hush, Sweet Charlotte;Mystery;Cotten, Joseph;Davis, Bette;Aldrich, Robert;68.0;No
1946;110.0;A Stolen Life;Drama;Ford, Glenn;Davis, Bette;Bernhardt, Curtis;20.0;No
1939;96.0;Old Maid, The;Drama;Brent, George;Davis, Bette;Goulding, Edmund;18.0;No
1950;138.0;All about Eve;Drama;Sanders, George;Davis, Bette;Mankiewicz, Joseph L.;23.0;Yes
1986;96.0;Fly, The;Horror;Goldblum, Jeff;Davis, Geena;Cronenberg, David;33.0;No
1990;89.0;Quick Change;Comedy;Murray, Bill;Davis, Geena;Franklin, Howard ;24.0;No
1988;93.0;Lair of the White Worm, The;Horror;Grant, Hugh;Davis, Sammi;Russell, Ken;16.0;No
1989;104.0;Rainbow, The;Drama;Hemmings, David;Davis, Sammi;Russell, Ken;53.0;No
1956;120.0;Man Who Knew Too Much, The;Mystery;Stewart, James;Day, Doris;Hitchcock, Alfred;15.0;No
1992;90.0;Beauty & the Beast;Science Fiction;Marais, Jean;Day, Josette;Cocteau, Jean;14.0;No
1940;120.0;Foreign Correspondent;Mystery;McCrea, Joel;Day, Laraine;Hitchcock, Alfred;61.0;No
1949;115.0;Heiress, The;Drama;Richardson, Ralph;De Havilland, Olivia;Wyler, William;81.0;Yes
1986;120.0;Boy Who Could Fly, The;Drama;Underwood, Jay;Deakins, Lucy;Castle, Nick;25.0;No
1975;89.0;Terrorists, The;Action;Connery, Sean;Dean, Isabel;Wrede, Caspar;4.0;No
1942;85.0;Wheel of Fortune;Drama;Wayne, John;Dee, Frances;Auer, John H.;36.0;No
1989;120.0;Do the Right Thing;Drama;Aiello, Danny;Dee, Ruby;Lee, Spike;5.0;No
1990;93.0;Court-Martial of Jackie Robinson, The;Drama;Braugher, Andre;Dee, Ruby;Peerce, Larry;33.0;No
1967;90.0;Elvira Madigan;Drama;Berggren, Thommy;Degermark, Pia;Widerberg, Bo;28.0;No
1992;86.0;Hurricane Smith;Action;Weathers, Carl;Delaney, Cassandra;Budds, Colin;16.0;No
1983;99.0;Risky Business;Comedy;Cruise, Tom;DeMornay, Rebecca;Brickman, Paul;28.0;No
1980;103.0;I Love All of You (Je Vous Aime);Drama;Depardieu, Grard;Deneuve, Catherine;Berri, Claude;40.0;No
1986;108.0;Love Songs;Drama;Lambert, Christopher;Deneuve, Catherine;Chouraqui, Elie;15.0;No
1983;114.0;Le Choix des Armes;Mystery;Montand, Yves;Deneuve, Catherine;Comeau, Alain;15.0;No
1981;135.0;Choice of Arms;Action;Montand, Yves;Deneuve, Catherine;Corneau, Alan;87.0;No
1977;107.0;March or Die;War;Hackman, Gene;Deneuve, Catherine;Richards, Dick;59.0;No
1980;135.0;Last Metro, The;Drama;Depardieu, Grard;Deneuve, Catherine;Truffaut, Franois;66.0;No
1986;120.0;Jean de Florette;Drama;Montand, Yves;Depardieu, Elizabeth;Berri, Claude;87.0;Yes
1989;127.0;Fat Man & Little Boy;Drama;Newman, Paul;Dern, Laura;Joffe, Roland;86.0;No
1990;125.0;Wild at Heart;Drama;Cage, Nicolas;Dern, Laura;Lynch, David;6.0;No
1989;113.0;Family Business;Action;Connery, Sean;DeSoto, Rosana;Lumet, Sidney;5.0;No
1988;103.0;Stand & Deliver;Drama;Olmos, Edward James;DeSoto, Rosana;Menendez, Ramon;19.0;No
1981;94.0;Looker;Science Fiction;Finney, Albert;Dey, Susan;Crichton, Michael;62.0;No
1989;89.0;Fire & Rain;Action;Haid, Charles;Dickinson, Angie;Jameson, Jerry;10.0;No
1940;83.0;Seven Sinners;Drama;Wayne, John;Dietrich, Marlene;Garnett, Tay;24.0;No
1961;190.0;Judgment at Nuremberg;Drama;Tracy, Spencer;Dietrich, Marlene;Kramer, Stanley;39.0;Yes
1987;130.0;Wings of Desire;Drama;Ganz, Bruno;Dommartin, Solveig;Wenders, Wim;71.0;No
1991;158.0;Until the End of the World;Drama;Hurt, William;Dommartin, Solveig;Wenders, Wim;57.0;No
1987;118.0;Castaway;Drama;Reed, Oliver;Donohoe, Amanda;Roeg, Nicolas;41.0;No
1991;99.0;Delicatessen;Comedy;Benezech, Pascal;Dougnac, Marie-Laure;Caro, Marc;78.0;No
1979;110.0;Great Train Robbery, The;Mystery;Connery, Sean;Down, Lesley-Anne;Crichton, Michael;7.0;No
1991;110.0;Hanover Street;Drama;Ford, Harrison;Down, Lesley-Anne;Hyams, Peter;81.0;No
1991;102.0;Hunchback;Drama;Hopkins, Anthony;Down, Lesley-Anne;Tuchner, Michael;33.0;No
1946;97.0;My Darling Clementine;Western;Fonda, Henry;Downs, Cathy;Ford, John;12.0;No
1950;86.0;Wagon Master;Western;Johnson, Ben;Dru, Joanne;Ford, John;30.0;No
1949;93.0;She Wore a Yellow Ribbon;Western;Wayne, John;Dru, Joanne;Ford, John;84.0;No
1985;90.0;Fantasy Man;Comedy;Hopkins, Harold;Drynan, Jeanie;Meagher, John;82.0;No
1986;87.0;Monster in the Closet;Comedy;Grant, Donald;DuBarry, Denise;Dahlin, Bob;39.0;No
1992;85.0;Double Edge;Drama;Eban, Abba;Dunaway, Faye;Kollek, Amos;69.0;No
1976;116.0;Network;Comedy;Finch, Peter;Dunaway, Faye;Lumet, Sidney;48.0;Yes
1974;131.0;Chinatown;Drama;Nicholson, Jack;Dunaway, Faye;Polanski, Roman;55.0;Yes
1975;117.0;Three Days of the Condor;Drama;Redford, Robert;Dunaway, Faye;Pollack, Sydney;87.0;No
1977;134.0;Voyage of the Damned;Drama;Sydow, Max von;Dunaway, Faye;Rosenberg, Stuart;34.0;No
1987;97.0;Barfly;Drama;Rourke, Mickey;Dunaway, Faye;Schroeder, Barbet;23.0;No
1947;118.0;Life with Father;Comedy;Powell, William;Dunne, Irene;Curtiz, Michael;10.0;No
1974;117.0;Stavisky;Drama;Belmondo, Jean-Paul;Duperey, Anny;Resnais, Alain;1.0;No
1981;117.0;Time Bandits;Comedy;Cleese, John;Duvall, Shelley;Gilliam, Terry;5.0;No
1980;144.0;Shining, The;Horror;Nicholson, Jack;Duvall, Shelley;Kubrick, Stanley;32.0;No
1945;91.0;Flame of Barbary Coast;Western;Wayne, John;Dvorak, Ann;Kane, Joseph;54.0;No
1979;92.0;Brood, The;Horror;Reed, Oliver;Eggar, Samantha;Cronenberg, David;51.0;No
1970;123.0;Molly Maguires, The;Action;Connery, Sean;Eggar, Samantha;Ritt, Martin;3.0;No
1984;105.0;Beverly Hills Cop;Comedy;Murphy, Eddie;Eilbacher, Lisa;Brest, Martin;41.0;No
1991;86.0;Blind Man's Bluff;Mystery;Urich, Robert;Eilbacher, Lisa;Quinn, James;64.0;No
1961;140.0;La Dolce Vita;Drama;Mastroianni, Marcello;Ekberg, Anita;Fellini, Federico;20.0;No
1966;103.0;After the Fox;Comedy;Sellers, Peter;Ekland, Britt;De Sica, Vittorio;60.0;No
1974;127.0;Man with the Golden Gun, The;Action;Moore, Roger;Ekland, Britt;Hamilton, Guy;41.0;No
1985;96.0;Marbella;Action;Taylor, Rod;Ekland, Britt;Hermoso, Miguel;45.0;No
1967;103.0;Bobo, The;Comedy;Sellers, Peter;Ekland, Britt;Parrish, Robert;80.0;No
1992;97.0;Killer Image.;Mystery;Ironside, Michael;Errickson, Krista;Winning, David;8.0;No
1987;94.0;Kandyland;Drama;Laulette, Charles;Evenson, Kim;Schnitzer, Robert Allen;41.0;No
1987;94.0;Campus Man;Drama;Dye, John;Fairchild, Morgan;Casden, Ron;38.0;No
1956;101.0;Jubal;Drama;Ford, Glenn;Farr, Felicia;Daves, Delmer;32.0;No
1985;84.0;Purple Rose of Cairo, The;Comedy;Aiello, Danny;Farrow, Mia;Allen, Woody;20.0;Yes
1984;85.0;Broadway Danny Rose;Comedy;Allen, Woody;Farrow, Mia;Allen, Woody;14.0;No
1992;108.0;Husbands & Wives;Comedy;Allen, Woody;Farrow, Mia;Allen, Woody;80.0;No
1986;103.0;Hannah & Her Sisters;Comedy;Caine, Michael;Farrow, Mia;Allen, Woody;8.0;Yes
1979;115.0;Hurricane;Action;Robards, Jason;Farrow, Mia;Troell, Jan;8.0;No
1986;95.0;Between Two Women;Drama;Nouri, Michael;Fawcett, Farrah;Avnet, John;52.0;No
1981;96.0;Cannonball Run, The;Comedy;Reynolds, Burt;Fawcett, Farrah;Needham, Hal;80.0;No
1936;70.0;Doughnuts & Society;Comedy;Nugent, Eddie;Fazenda, Louise;Collins, Lewis D.;28.0;No
1978;450.0;Holocaust;Drama;Bottoms, Joseph;Feldshuh, Tovah;Chomsky, Marvin J.;1.0;No
1990;103.0;Meridian;Science Fiction;Jamieson, Malcolm;Fenn, Sherilyn;Band, Charles;47.0;No
1992;90.0;Diary of a Hitman;Drama;Whitaker, Forest;Fenn, Sherilyn;London, Roy;67.0;No
1988;95.0;Gor;Action;Reed, Oliver;Ferratti, Rebecca;Kiersch, Fritz;2.0;No
1987;95.0;Surrender;Comedy;Caine, Michael;Field, Sally;Belson, Jerry;84.0;No
1984;112.0;Places in the Heart;Drama;Harris, Ed;Field, Sally;Benton, Robert;83.0;Yes
1991;106.0;Not Without My Daughter;Drama;Molina, Alfred;Field, Sally;Gilbert, Brian;55.0;No
1977;113.0;Heroes;Drama;Winkler, Henry;Field, Sally;Kagan, Jeremy Paul;17.0;No
1981;116.0;Absence of Malice;Drama;Newman, Paul;Field, Sally;Pollack, Sydney;76.0;No
1979;110.0;Norma Rae;Drama;Bridges, Beau;Field, Sally;Ritt, Martin;64.0;Yes
1989;118.0;Steel Magnolias;Drama;Skerritt, Tom;Field, Sally;Ross, Herbert;66.0;No
1989;101.0;Burbs, The;Comedy;Hanks, Tom;Fisher, Carrie;Dante, Joe;42.0;No
1980;124.0;Empire Strikes Back, The;Science Fiction;Hamill, Mark;Fisher, Carrie;Kershner, Irvin;33.0;No
1977;121.0;Star Wars;Science Fiction;Hamill, Mark;Fisher, Carrie;Lucas, George;44.0;No
1983;132.0;Return of the Jedi;Science Fiction;Hamill, Mark;Fisher, Carrie;Marquand, Richard;4.0;No
1991;104.0;Hear My Song;Drama;Dunbar, Adrian;Fitzgerald, Tara;Chelsom, Peter;72.0;No
1956;99.0;Slightly Scarlet;Action;Payne, John;Fleming, Rhonda;Dwan, Allan;52.0;No
1957;120.0;Gunfight at the OK Corral;Western;Lancaster, Burt;Fleming, Rhonda;Sturges, John;84.0;No
1990;89.0;Bloodsucking Pharaohs in Pittsburgh;Comedy;Dengel, Jake;Fletcher, Suzanne;Smithey, Alan;79.0;No
1972;129.0;Roma;Drama;Gonzales, Peter;Florence, Fiona;Fellini, Federico;75.0;No
1979;122.0;China Syndrome, The;Drama;Douglas, Michael;Fonda, Jane;Bridges, James;43.0;No
1986;100.0;Morning After, The;Mystery;Bridges, Jeff;Fonda, Jane;Lumet, Sidney;6.0;No
1971;114.0;Klute;Drama;Sutherland, Donald;Fonda, Jane;Pakula, Alan J.;15.0;Yes
1979;113.0;Electric Horseman, The;Comedy;Redford, Robert;Fonda, Jane;Pollack, Sydney;34.0;No
1965;97.0;Cat Ballou;Comedy;Marvin, Lee;Fonda, Jane;Silverstein, Elliot;62.0;Yes
1940;130.0;Rebecca;Drama;Olivier, Laurence;Fontaine, Joan;Hitchcock, Alfred;78.0;Yes
1944;96.0;Jane Eyre;Drama;Welles, Orson;Fontaine, Joan;Stevenson, Robert;44.0;No
1973;87.0;Stacey!;Action;Randall, Anne;Ford, Anitra;Sidaris, Andy;31.0;No
1992;85.0;Naked Obsession;Mystery;Katt, William;Ford, Maria;Golden, Dan;26.0;No
1989;83.0;Stripped to Kill II, Live Girls;Mystery;Lottimer, Ed;Ford, Maria;Ruben, Katt Shea;80.0;No
1990;94.0;Rain Killer, The;Mystery;Sharkey, Ray;Ford, Maria;Stein, Ken;10.0;No
1983;95.0;Valley Girl;Comedy;Cage, Nicolas;Foreman, Deborah;Coolidge, Martha;30.0;No
1991;118.0;Silence of the Lambs, The;Mystery;Hopkins, Anthony;Foster, Jodie;Demme, Jonathan;8.0;Yes
1988;98.0;Stealing Home;Drama;Harmon, Mark;Foster, Jodie;Kampmann, Steven ;76.0;No
1972;92.0;Napoleon & Samantha;Comedy;Douglas, Michael;Foster, Jodie;McEveety, Bernard;33.0;No
1989;103.0;My Left Foot;Drama;Day-Lewis, Daniel;Fricker, Brenda;Sheridan, Jim;32.0;Yes
1987;92.0;Back to the Beach;Comedy;Avalon, Frankie;Funicello, Annette;Hobbs, Lyndall;45.0;No
1934;85.0;Painted Veil, The;Drama;Marshall, Herbert;Garbo, Greta;Boleslawski, Richard;57.0;No
1931;74.0;Inspiration;Drama;Apfel, Oscar;Garbo, Greta;Brown, Clarence;66.0;No
1930;92.0;Anna Christie;Drama;Bickford, Charles;Garbo, Greta;Brown, Clarence;0.0;No
1926;109.0;Flesh & the Devil, The;Drama;Gilbert, John;Garbo, Greta;Brown, Clarence;72.0;No
1928;90.0;Woman of Affairs;Drama;Gilbert, John;Garbo, Greta;Brown, Clarence;83.0;No
1935;96.0;Anna Karenina;Drama;March, Fredric;Garbo, Greta;Brown, Clarence;35.0;Yes
1936;110.0;Camille;Drama;Taylor, Robert;Garbo, Greta;Cukor, George;74.0;No
1931;91.0;Mata Hari;Drama;Novarro, Ramon;Garbo, Greta;Fitzmaurice, George;67.0;No
1929;100.0;Wild Orchids;Drama;Stone, Lewis;Garbo, Greta;Franklin, Sidney;70.0;No
1932;112.0;Grand Hotel;Drama;Barrymore, John;Garbo, Greta;Goulding, Edmund;81.0;Yes
1931;84.0;Susan Lennox, Her Fall & Rise;Drama;Hale, Alan;Garbo, Greta;Leonard, Robert Z.;64.0;No
1939;108.0;Ninotchka;Comedy;Douglas, Melvyn;Garbo, Greta;Lubitsch, Ernst;40.0;No
1933;97.0;Queen Christina;Drama;Gilbert, John;Garbo, Greta;Mamoulian, Rouben;82.0;No
1928;96.0;Mysterious Lady, The;Drama;Nagel, Conrad;Garbo, Greta;Niblo, Fred;72.0;No
1925;125.0;Joyless Street;Drama;Stuart, Henry;Garbo, Greta;Pabst, Georg Wilhelm;73.0;No
1929;74.0;Single Standard, The;Drama;Asther, Nils;Garbo, Greta;Robertson, John S.;73.0;No
1962;105.0;A Child Is Waiting;Drama;Lancaster, Burt;Garland, Judy;Cassavetes, John;60.0;No
1982;116.0;Tootsie;Comedy;Hoffman, Dustin;Garr, Teri;Pollack, Sydney;8.0;Yes
1989;86.0;Let It Ride;Comedy;Dreyfuss, Richard;Garr, Teri;Pytka, Joe;88.0;No
1953;120.0;Julius Caesar;Drama;Brando, Marlon;Garson, Greer;Mankiewicz, Joseph L.;50.0;No
1979;120.0;Nineteen Forty-One;Comedy;Belushi, John;Gary, Lorraine;Spielberg, Steven;24.0;No
1975;124.0;Jaws;Action;Scheider, Roy;Gary, Lorraine;Spielberg, Steven;6.0;No
1987;93.0;Hot Pursuit;Drama;Cusack, John;Gazelle, Wendy;Lisberger, Steven;44.0;No
1989;120.0;Triumph of the Spirit;Drama;Dafoe, Willem;Gazelle, Wendy;Young, Robert M.;49.0;No
1975;111.0;Brannigan;Drama;Wayne, John;Geeson, Judy;Hickox, Douglas;64.0;No
1979;89.0;Buffet Froid;Comedy;Depardieu, Grard;Gence, Denise;Blier, Bertrand;75.0;No
1986;122.0;Salvador;Drama;Woods, James;Gibb, Cynthia;Stone, Oliver;77.0;No
1959;102.0;Horse Soldiers, The;Western;Wayne, John;Gibson, Althea;Ford, John;76.0;No
1954;108.0;Long John Silver;Action;Newton, Robert;Gilchrist, Connie;Haskin, Byron;56.0;No
1961;134.0;Hustler, The;Drama;Newman, Paul;Gleason, Jackie;Rossen, Robert;43.0;Yes
1983;109.0;Star Chamber, The;Drama;Douglas, Michael;Gless, Sharon;Hyam, Peter;3.0;No
1988;100.0;Clara's Heart;Drama;Ontkean, Michael;Goldberg, Whoopi;Mulligan, Robert;60.0;No
1987;102.0;Burglar;Comedy;Goldthwait, Bob;Goldberg, Whoopi;Wilson, Hugh;44.0;No
1978;117.0;Bloodbrothers;Drama;Sorvino, Paul;Goldoni, Lelia;Mulligan, Robert;11.0;No
1988;134.0;Rain Man;Drama;Hoffman, Dustin;Golino, Valeria;Levinson, Barry;8.0;Yes
1966;95.0;Masculine Feminine;Drama;Leaud, Jean-Pierre;Goya, Chantal;Godard, Jean-Luc;20.0;No
1964;51.0;Outer Limits, The;Science Fiction;Perrin, Vic;Grahame, Gloria;Stanley, Paul;27.0;No
1979;180.0;Last Ride of the Dalton Gang, The;Western;Palance, Jack;Greenbush, Lindsay;Curtis, Dan;62.0;No
1932;66.0;Number Seventeen;Crime;Lion, Leon M.;Grey, Anne;Hitchcock, Alfred;66.0;No
1986;120.0;Manhunter;Drama;Petersen, William L.;Griest, Kim;Mann, Michael;19.0;No
1990;126.0;Bonfire of the Vanities, The;Drama;Hanks, Tom;Griffith, Melanie;De Palma, Brian;82.0;No
1988;115.0;Working Girl;Comedy;Ford, Harrison;Griffith, Melanie;Nichols, Mike;25.0;No
1992;133.0;Shining Through;Mystery;Douglas, Michael;Griffith, Melanie;Seltzer, David;11.0;No
1988;99.0;Tokyo Pop;Comedy;Tadokoro, Yutaka;Hamilton, Carrie;Kuzui, Fran Rubel;2.0;No
1991;136.0;Terminator 2;Action;Schwarzenegger, Arnold;Hamilton, Linda;Cameron, James;8.0;No
1984;108.0;Terminator, The;Action;Schwarzenegger, Arnold;Hamilton, Linda;Cameron, James;17.0;No
1986;105.0;King Kong Lives!;Action;Kerwin, Brian;Hamilton, Linda;Guillermin, John;20.0;No
1991;186.0;At Play in the Fields of the Lord;Drama;Berenger, Tom;Hannah, Daryl;Babenco, Hector;81.0;No
1992;99.0;Memoirs of an Invisible Man;Comedy;Chase, Chevy;Hannah, Daryl;Carpenter, John;58.0;No
1985;100.0;Clan of the Cave Bear, The;Drama;Remar, James;Hannah, Daryl;Chapman, Michael;73.0;No
1983;82.0;Final Terror, The;Horror;Zmed, Adrian;Hannah, Daryl;Davis, Andrew;24.0;No
1984;93.0;Reckless;Drama;Quinn, Aidan;Hannah, Daryl;Foley, James;14.0;No
1987;107.0;Roxanne;Comedy;Martin, Steve;Hannah, Daryl;Schepisi, Fred;66.0;No
1982;117.0;Blade Runner;Action;Ford, Harrison;Hannah, Daryl;Scott, Ridley;1.0;No
1987;126.0;Wall Street;Drama;Douglas, Michael;Hannah, Daryl;Stone, Oliver;6.0;Yes
1938;298.0;Flaming Frontiers;Western;Brown, Johnny Mack;Hansen, Eleanor;Taylor, Ray;82.0;No
1936;89.0;Libeled Lady;Comedy;Powell, William;Harlow, Jean;Conway, Jack;86.0;No
1976;99.0;Inserts;Drama;Dreyfuss, Richard;Harper, Jessica;Byrum, John;85.0;No
1988;88.0;Blue Iguana, The;Drama;McDermott, Dylan;Harper, Jessica;Lafia, John;65.0;No
1983;93.0;Tender Mercies;Drama;Duvall, Robert;Harper, Tess;Beresford, Bruce;61.0;Yes
1987;96.0;Nights in White Satin;Drama;Gilman, Kenneth;Harris, Priscilla;Barnard, Michael;5.0;No
1989;87.0;Videodrome;Horror;Woods, James;Harry, Deborah;Cronenberg, David;36.0;No
1991;96.0;Intimate Stranger;Mystery;Russo, James;Harry, Deborah;Holzman, Allan;23.0;No
1986;110.0;Highlander;Science Fiction;Lambert, Christopher;Hart, Roxanne;Mulcahy, Russell;8.0;No
1989;104.0;Tango & Cash;Action;Stallone, Sylvester;Hatcher, Teri;Konchalovsky, Andrei;9.0;No
1970;94.0;There's a Girl in My Soup;Comedy;Sellers, Peter;Hawn, Goldie;Boulting, Roy;41.0;No
1984;100.0;Swing Shift;Drama;Russell, Kurt;Hawn, Goldie;Demme, Jonathan;81.0;No
1978;112.0;Foul Play;Comedy;Chase, Chevy;Hawn, Goldie;Higgins, Colin;46.0;No
1982;109.0;Best Friends;Comedy;Reynolds, Burt;Hawn, Goldie;Jewison, Norman;74.0;No
1972;109.0;Butterflies Are Free;Drama;Albert, Edward;Hawn, Goldie;Katselas, Milton;82.0;Yes
1987;112.0;Overboard;Comedy;Russell, Kurt;Hawn, Goldie;Marshall, Garry;6.0;No
1974;103.0;Girl from Petrovka, The;Drama;Holbrook, Hal;Hawn, Goldie;Miller, Robert Ellis;23.0;No
1992;102.0;Housesitter;Comedy;Martin, Steve;Hawn, Goldie;Oz, Frank;14.0;No
1986;106.0;Wildcats;Comedy;Keach, James;Hawn, Goldie;Ritchie, Michael;22.0;No
1984;100.0;Protocol;Comedy;Sarandon, Chris;Hawn, Goldie;Ross, Herbert;53.0;No
1980;102.0;Seems Like Old Times;Comedy;Chase, Chevy;Hawn, Goldie;Sandrich, Jay;49.0;No
1974;109.0;Sugarland Express, The;Drama;Johnson, Ben;Hawn, Goldie;Spielberg, Steven;28.0;No
1980;110.0;Private Benjamin;Comedy;Assante, Armand;Hawn, Goldie;Zieff, Howard;61.0;No
1931;95.0;Arrowsmith;Drama;Colman, Ronald;Hayes, Helen;Ford, John;84.0;No
1972;78.0;Say Goodbye Maggie Cole;Drama;McGavin, Darren;Hayward, Susan;Taylor, Jud;84.0;No
1964;132.0;Circus World;Drama;Wayne, John;Hayworth, Rita;Hathaway, Henry;29.0;No
1952;98.0;Affair in Trinidad;Drama;Ford, Glenn;Hayworth, Rita;Sherman, Vincent;49.0;No
1948;87.0;Lady from Shanghai;Mystery;Welles, Orson;Hayworth, Rita;Welles, Orson;16.0;No
1940;81.0;Lady in Question;Drama;Aherne, Brian;Hayworth, Rita;Vidor, Charles;57.0;No
1946;110.0;Gilda;Drama;Ford, Glenn;Hayworth, Rita;Vidor, Charles;57.0;No
1948;98.0;Loves of Carmen, The;Drama;Ford, Glenn;Hayworth, Rita;Vidor, Charles;48.0;No
1990;105.0;Dick Tracy;Comedy;Beatty, Warren;Headley, Glenne;Beatty, Warren;84.0;No
1964;130.0;Marnie;Drama;Connery, Sean;Hedren, Tippi;Hitchcock, Alfred;2.0;No
1987;85.0;Hot Child in the City;Mystery;Prysirr, Geof;Hendrix, Leah Ayres;Florea, John;0.0;No
1984;90.0;Johnny Dangerously;Comedy;Piscopo, Joe;Henner, Marilu;Heckerling, Amy;3.0;No
1985;95.0;Stark;Mystery;Surovy, Nicolas;Henner, Marilu;Holcomb, Rod;27.0;No
1949;84.0;Three Strange Loves;Drama;Malmsten, Birger;Henning, Eva;Bergman, Ingmar;87.0;No
1964;170.0;My Fair Lady;Music;Harrison, Rex;Hepburn, Audrey;Cukor, George;10.0;Yes
1960;123.0;Unforgiven, The;Drama;Lancaster, Burt;Hepburn, Audrey;Huston, John;32.0;No
1976;106.0;Robin & Marian;Action;Connery, Sean;Hepburn, Audrey;Lester, Richard;6.0;No
1961;109.0;Children's Hour, The;Drama;Garner, James;Hepburn, Audrey;Wyler, William;60.0;No
1956;121.0;Rainmaker, The;Drama;Lancaster, Burt;Hepburn, Katharine;Anthony, Joseph;21.0;No
1952;95.0;Pat & Mike;Comedy;Tracy, Spencer;Hepburn, Katharine;Cukor, George;48.0;No
1968;134.0;Lion in Winter, THe;Drama;O'Toole, Peter;Hepburn, Katharine;Harvey, Anthony;78.0;Yes
1991;132.0;Sea of Grass, The;Western;Tracy, Spencer;Hepburn, Katharine;Kazan, Elia;75.0;No
1967;108.0;Guess Who's Coming to Dinner;Drama;Tracy, Spencer;Hepburn, Katharine;Kramer, Stanley;50.0;Yes
1957;153.0;Desk Set;Comedy;Tracy, Spencer;Hepburn, Katharine;Lang, Walter;51.0;No
1975;107.0;Rooster Cogburn;Western;Wayne, John;Hepburn, Katharine;Miller, Stuart;76.0;No
1981;109.0;On Golden Pond;Drama;Fonda, Henry;Hepburn, Katharine;Rydell, Mark;23.0;Yes
1992;95.0;Juice;Drama;Shakur, Tupac;Herron, Cindy;Dickerson, Ernest R.;31.0;No
1986;114.0;Hoosiers;Drama;Hackman, Gene;Hershey, Barbara;Anspaugh, David;2.0;No
1987;112.0;Tin Men;Comedy;Dreyfuss, Richard;Hershey, Barbara;Levinson, Barry;50.0;No
1988;163.0;Last Temptation of Christ, The;Drama;Dafoe, Willem;Hershey, Barbara;Scorsese, Martin;32.0;No
1988;87.0;Souvenir;Drama;Plummer, Christopher;Hicks, Catherine;Reeve, Geoffrey;42.0;No
1966;120.0;A Man for All Seasons;Drama;Shaw, Robert;Hiller, Wendy;Zinnemann, Fred;20.0;Yes
1989;83.0;Masque of the Red Death;Horror;MacNee, Patrick;Hoak, Clare;Brand, Larry;9.0;No
1943;265.0;Adventures of Smilin' Jack, The;Mystery;Brown, Tom;Hobart, Rose;Taylor, Ray;77.0;No
1992;88.0;Adventures in Dinosaur City;Action;Katz, Omri;Hoffman, Shawn;Thompson, Brett;19.0;No
1987;95.0;Allnighter, The;Comedy;Terlesky, John;Hoffs, Susanna;Hoffs, Tamar Simon;71.0;No
1980;99.0;Caddyshack;Comedy;Chase, Chevy;Holcomb, Sarah;Ramis, Harold;70.0;No
1973;102.0;Tom Sawyer;Music;Whitaker, Johnny;Holm, Celeste;Taylor, Don;11.0;No
1987;94.0;Rita, Sue & Bob Too;Comedy;Finneran, Siohban;Holmes, Michelle;Clarke, Alan;5.0;No
